YY,MM,DD,HH,MI,SS,SEQ,THETIME,LOGID,CLIENTIP,REQUESTOR,SERVER,DBNAME,ACC,ELAPSED,BUSY,NRROWS,STATEMENT,ERROR
2004,1,14,1,58,52,4119732,14-JAN-04 01.58.52.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0.001,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121509928960",0
2004,1,14,1,58,51,4119733,14-JAN-04 01.58.52.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121438625792",0
2004,1,14,1,58,53,4119731,14-JAN-04 01.58.53.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121669312512",0
2004,1,14,1,58,54,4119729,14-JAN-04 01.58.54.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121677701120",0
2004,1,14,1,58,53,4119730,14-JAN-04 01.58.54.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121828696064",0
2004,1,14,1,58,55,4119727,14-JAN-04 01.58.55.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121837084672",0
2004,1,14,1,58,54,4119728,14-JAN-04 01.58.55.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.033,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121841278976",0
2004,1,14,1,58,56,4119725,14-JAN-04 01.58.56.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842122050994176",0
2004,1,14,1,58,55,4119726,14-JAN-04 01.58.56.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0.001,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=111124106912464896",0
2004,1,14,1,58,57,4119723,14-JAN-04 01.58.57.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842122025828352",0
2004,1,14,1,58,56,4119724,14-JAN-04 01.58.57.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0.001,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=111124106899881984",0
2004,1,14,1,58,57,4119722,14-JAN-04 01.58.58.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842122009051136",0
2004,1,14,13,58,59,4114923,14-JAN-04 01.58.59.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
